rank,company,city,state,industry,employees,score,tier,aide_target,angle,intent_topics,description,acct_num,score_intent,score_industry,score_ai,score_emp,score_acct
11,Relativity Oda LLC,Chicago,Illinois,Software,1600,65,S-Tier,YES,AI Infrastructure,App Analytics Companies; GitHub; Generative AI; Database Solutions; Environmental Regulations; Compliance; Data Center Migration; Amazon Web Services (AWS); Autonomous Intelligence and Agentic AI; Docker,"At Relativity offers an e-discovery software platform that helps users organize data to quickly identify key issues during litigation, internal investigations, and compliance projects. Relativity makes software to help users organize data, discover the truth and act on it. Its SaaS product, RelativityOne, manages large volumes of data and quickly identifies key issues during litigation and internal investigations. Relativity has more than 300,000 users in approximately 40 countries serving thousands of organizations globally primarily in legal, financial services and government sectors. It is headquartered in Chicago, Illinois.",32539472,35,15,6,4,5
12,Sumitomo Electric Wiring Systems Inc.,Bowling Green,Kentucky,Manufacturing,2630,65,S-Tier,YES,AI Infrastructure,Cloud Backup & Recovery; Generative AI; Fraud Protection; Enterprise Resource Planning; Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Artificial Intelligence,"Founded in 1986, Sumitomo Electric Wiring Systems is a company that manufacturers electric wire and optical fiber cables. Sumitomo Electric Wiring Systems is located in Kentucky.",454517486,35,15,6,4,5
13,Checkmarx Inc.,Atlanta,Georgia,Software,900,64,S-Tier,YES,AI Infrastructure,Cloud Computing; End-to-End Encryption; Digital Transformation; File Sharing; Environmental Regulations; Application Performance; Energy Storage; Databases; Cyber Intelligence; Data Center Migration; Dropbox; Big Data Software; Generative AI,"Checkmarx is the global leader in software security solutions for modern enterprise software development. Checkmarx delivers the industry's most comprehensive Software Security Platform that unifies with DevOps and provides static and interactive application security testing, software composition analysis, and developer AppSec awareness and training programs to reduce and remediate risk from software vulnerabilities.",37429250,35,15,6,3,5
14,Aqua-Aerobic Systems Inc.,Loves Park,Illinois,Manufacturing,152,63,S-Tier,YES,AI Infrastructure,Enterprise Resource Planning; All Flash Array; Autonomous Intelligence and Agentic AI; Generative AI; Capacity Planning; Advanced Threat Protection (ATP),"Founded in 1919, Aqua-Aerobic Systems, Inc. manufactures water filtration products. The company offers aeration and mixing systems, membranes, filtration devices and controls, and ancillary products.",6359663,35,15,6,2,5
15,Nordex USA Inc.,Hamburg,Hamburg,Manufacturing,10256,63,S-Tier,YES,AI Infrastructure,Backup & Recovery Software; Generative AI; Digital Transformation; Application Performance; Energy Storage; Autonomous Intelligence and Agentic AI,"Established in 1985 and headquartered in Hamburg, Germany, Nordex is a provider of development, manufacturing, project managing and servicing of onshore wind turbines.",27853839,32,15,6,5,5
16,Solarus,Wisconsin Rapids,Wisconsin,Telecommunications,131,63,S-Tier,YES,AI Infrastructure,Disaster Recovery; Cloud Computing; Cloud Storage; Backup & Recovery Software; End-to-End Encryption; Digital Transformation; Cloud Data; Capacity Planning; Enterprise Resource Planning; Environmental Regulations; Energy Storage; Advanced Analytics; Generative AI; Data Center Migration; Business Intelligence; Enterprise Contact Center; Fraud Protection; Autonomous Intelligence and Agentic AI; Compliance; Advanced Threat Protection (ATP); Enterprise Collaboration; Artificial Intelligence; Dropbox; Enterprise Infrastructure; Business Continuity,"Founded in 1896, Solarus provides flexible residential and business options for Internet, phone, and TV. The company is headquartered in Wisconsin Rapids, Wisconsin.",161136778,35,15,6,2,5
17,WTS Paradigm,Middleton,Wisconsin,Software,450,63,S-Tier,YES,AI Infrastructure,Enterprise Contact Center; End-to-End Encryption; Generative AI; GitHub; File Sharing; Amazon Web Services (AWS); Business Intelligence; Environmental Regulations; Autonomous Intelligence and Agentic AI; Encryption; Enterprise Infrastructure,"WTS Paradigm LLC is a Software Development Company. The company offers software solutions that help building product organizations. The company was founded in 1999 and is headquartered in Middleton, Wisconsin.",42860636,35,15,6,2,5
18,Echo Inc.,Lake Zurich,Illinois,Manufacturing,1750,62,S-Tier,YES,AI Infrastructure,Environmental Regulations; Generative AI; Data Center Migration; Autonomous Intelligence and Agentic AI; Fraud Protection; Dropbox,"For the past 40 years, ECHO Incorporated has been a worldwide leader in the development and manufacture of professional-grade, hand-held outdoor power equipment for both the commercial and homeowner markets. Today it sells its products in North America through ten distributors managing 6,600 independent dealers. ECHO products can be found in Home Depot stores in the U.S., Canada, Mexico and Puerto Rico, while an additional 24 Latin American distributors sell ECHO products through a variety of store channels. The company prides itself on setting the industry standard with its dedication to new technology, quality products and its strong distribution infrastructure. From establishing technological advancements in premium tools for landscaping and arborist professionals, to expanding its capabilities to meet industrial and consumer demand, ECHO has a heritage rich of accomplishments.",36655733,32,15,6,4,5
19,Joink LLC,Terre Haute,Indiana,Telecommunications,26,62,S-Tier,YES,AI Infrastructure,Cloud Computing; Cloud Storage; Digital Transformation; Cloud Data; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI,"Joink is a Terre Haute, Indiana-based provider of high-speed fiber optic internet services, catering to both residential and business clients. With a commitment to delivering reliable and fast internet, they offer various plans including Fiber and Fixed Wireless options, ensuring customers can stream, work, and game without interruptions. Joink has been serving the Wabash Valley for over 20 years, investing in local communities and providing a dependable 100% underground fiber network. Their services include managed technology services and hosting, aimed at enhancing connectivity for all users.",57820617,35,15,6,1,5
20,Waterfurnace International,Fort Wayne,Indiana,Manufacturing,285,62,S-Tier,YES,AI Infrastructure,Generative AI; Fraud Protection; Endpoint Protection; Environmental Regulations; Data Center Migration; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"WaterFurnace International, Inc. is a geothermal company. It offers home heating and cooling and water heating. The company was established in 1983 and is headquartered in Fort Wayne, Indiana.",122191945,34,15,6,2,5
21,BCforward,Indianapolis,Indiana,Business Services,5984,61,S-Tier,YES,AI Infrastructure,Cloud Computing; End-to-End Encryption; Generative AI; File Sharing; Environmental Regulations; Enterprise Contact Center; Enterprise Resource Planning; Capacity Planning; Energy Storage; Artificial Intelligence; Dropbox; Autonomous Intelligence and Agentic AI; Advanced Analytics,"BCforward, founded in 1998 and headquartered in Indianapolis, Indiana, is a global IT consulting and workforce fulfillment firm that provides services and resourcing for leading businesses and government organizations.",353993749,35,8,8,5,5
22,Park Place Technologies LLC,Cleveland,Ohio,Business Services,2400,60,S-Tier,YES,AI Infrastructure,Disaster Recovery; Digital Transformation; Generative AI; Cyber Intelligence; Fraud Protection; Enterprise Contact Center; Amazon Web Services (AWS); Environmental Regulations; Enterprise Resource Planning; Energy Storage; Databases; Data Center Migration; Autonomous Intelligence and Agentic AI; Advanced Analytics; Compliance; Encryption; Business Analytics; Business Continuity; Cloud Computing; Artificial Intelligence,"Park Place Technologies is a global provider of data center and networking optimization solutions, helping organizations enhance infrastructure performance and reliability. The company delivers services that maximize IT efficiency, extend the life of critical equipment, and optimize technology investments. Trusted by a wide range of businesses worldwide, Park Place Technologies focuses on improving uptime, streamlining operations, and supporting IT teams in maintaining high-performing, resilient technology environments.",353776860,35,8,8,4,5
23,ATI Holdings LLC,Bolingbrook,Illinois,Healthcare Services,6300,59,S-Tier,YES,AI Infrastructure,Cloud Computing; Enterprise Contact Center; External Hard Drive; Cloud Storage; Digital Transformation; Generative AI; Application Performance; GitHub; Cloud Data; File Sharing; Environmental Regulations; Energy Storage; Data Center Migration; Autonomous Intelligence and Agentic AI; Encryption; Advanced Threat Protection (ATP); Enterprise Infrastructure; Artificial Intelligence; Dropbox,"ATI Physical Therapy, headquartered in Bolingbrook, Illinois, and established in 1996, is a rehabilitation provider specializing in research-based physical therapy, workers' compensation rehabilitation, employer worksite solutions, sports medicine, home health, and specialty therapies.",488712582,35,8,6,5,5
24,Heartland Family Dental Care of Illinois PC,Effingham,Illinois,Business Services,20000,59,S-Tier,YES,AI Infrastructure,App Analytics Companies; Clustering; Cloud Storage; Enterprise Contact Center; End-to-End Encryption; Cloud Computing; Digital Transformation; External Hard Drive; Cloud Data; Amazon Web Services (AWS); Environmental Regulations; Energy Storage; Autonomous Intelligence and Agentic AI; Application Performance; Encryption; Advanced Threat Protection (ATP); Business Analytics; Big Data Software; Generative AI; Fraud Protection,"At Heartland Dental, we help you get back to being what you're meant to be: a dentist. We provide comprehensive administrative support services to tackle marketing, accounting, and other aspects of your business, allowing you to focus on what really matters: caring for your patients.",48466118,35,8,6,5,5
25,Elwood Staffing Services Inc.,Columbus,Indiana,Business Services,1000,58,S-Tier,YES,AI Infrastructure,Enterprise Contact Center; Cloud Backup & Recovery; App Analytics Companies; Digital Transformation; Generative AI; Amazon Web Services (AWS); Environmental Regulations; Capacity Planning; Energy Storage; Databases; Autonomous Intelligence and Agentic AI; Fraud Protection; Enterprise Infrastructure; File Servers; Big Data Software,"Founded in 1980, Elwood Staffing®, a privately owned corporation, is a leading provider of talent-based solutions and actionable workforce intelligence. With offices that span the United States, a broad service portfolio, and a seasoned staff, we support companies through the entire employment life cyclefrom attraction to retention.",17909189,35,8,6,4,5
26,Elite Staffing Inc.,Chicago,Illinois,Business Services,2500,57,S-Tier,YES,AI Infrastructure,Enterprise Contact Center; Application Performance; Fraud Protection; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure,"Elite Staffing provides staffing services and temporary employment opportunities for a wide range of clients, from business owners in search of employees, to candidates in search of employment. Elite Staffing is headquartered in Chicago, Illinois.",40015972,34,8,6,4,5
27,Richelieu Foods,Wheeling,Illinois,Manufacturing,610,57,S-Tier,YES,AI Infrastructure,End-to-End Encryption; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI,"Richelieu Foods operates as a specialized food manufacturing company focused on private label production and contract packing services. The company has built its operations around two core product categories: frozen pizza and salad dressings, serving as a trusted manufacturing partner for retailers and food brands seeking reliable production capabilities and quality assurance. With deep expertise in food manufacturing processes, Richelieu Foods manages the complete production cycle for its clients, from formulation and ingredient sourcing through packaging and distribution preparation. The company's contract packing services enable brands to scale production without maintaining their own manufacturing infrastructure, providing flexibility and cost efficiency for partners of varying sizes. This operational model allows Richelieu Foods to serve as an extension of its clients' production capabilities while maintaining rigorous quality standards throughout the manufacturing process. The company's focus on private label manufacturing has positioned it as a capable partner for retailers seeking to develop competitive store-brand offerings. By handling production logistics and quality control, Richelieu Foods enables retail partners to expand their product portfolios while managing production complexity.",52396328,28,15,6,3,5
28,St Joseph Regional Medical Center,Lewiston,Idaho,Hospitals & Physicians Clinics,576,57,S-Tier,YES,AI Infrastructure,End-to-End Encryption; Generative AI; Environmental Regulations; Application Performance; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Artificial Intelligence; Big Data Software,"St. Joseph Regional Medical Center, located in Lewiston, Idaho, is a full-service regional medical center between Boise and Spokane and specializes in providing specialty healthcare.",136364178,35,8,6,3,5
29,Aurora Area Blood Bank,Milwaukee,Wisconsin,Healthcare Services,2300,56,S-Tier,YES,AI Infrastructure,External Hard Drive; Backup & Recovery Software; Digital Transformation; Generative AI; Cloud Storage; Fraud Protection; Cloud Data; Environmental Regulations; App Analytics Companies; Energy Storage; Artificial Intelligence; Cloud Computing,"Versiti, a national leader in blood health innovation, was formed with the mission to improve the health of patients and enable the success of our healthcare partners nationally. We provide innovative, value-added solutions in the fields of transfusion medicine, transplantation, and blood-related diseases to meet the needs of each of our customers. The collective efforts across Versiti result in improved patient outcomes, expanded access to care, and cost efficiencies for healthcare systems nationwide.",388096303,35,8,4,4,5
30,Central Indiana Regional Blood Center Inc.,Milwaukee,Wisconsin,Healthcare Services,2300,56,S-Tier,YES,AI Infrastructure,External Hard Drive; Backup & Recovery Software; Digital Transformation; Generative AI; Cloud Storage; Fraud Protection; Cloud Data; Environmental Regulations; App Analytics Companies; Energy Storage; Artificial Intelligence; Cloud Computing,"Versiti, a national leader in blood health innovation, was formed with the mission to improve the health of patients and enable the success of our healthcare partners nationally. We provide innovative, value-added solutions in the fields of transfusion medicine, transplantation, and blood-related diseases to meet the needs of each of our customers. The collective efforts across Versiti result in improved patient outcomes, expanded access to care, and cost efficiencies for healthcare systems nationwide.",388096303,35,8,4,4,5
31,Gorman & Company Inc.,Oregon,Wisconsin,Business Services,400,56,S-Tier,YES,AI Infrastructure,Cloud Computing; Cloud Storage; Generative AI; Cloud Data; Environmental Regulations; Autonomous Intelligence and Agentic AI; Digital Transformation; Dropbox,"Gorman & Company operates at the intersection of community development and strategic planning, working directly with municipal governments and grassroots organizations to advance comprehensive community initiatives. The firm brings specialized expertise in translating complex development objectives into actionable strategies that address the multifaceted needs of communities seeking sustainable growth and improved quality of life. The company's approach integrates economic development planning, social infrastructure assessment, and long-term community visioning. By collaborating closely with local stakeholders, Gorman & Company identifies opportunities for strategic investment and policy development that align with each community's unique priorities and constraints. This collaborative methodology ensures that recommendations reflect both technical best practices and the lived experiences of residents and local leaders. Gorman & Company provides comprehensive consulting services spanning feasibility analysis, strategic planning frameworks, economic impact assessment, and implementation roadmaps. The firm's work encompasses downtown revitalization initiatives, workforce development strategies, housing policy analysis, and community engagement processes. By combining data-driven analysis with stakeholder input, the company helps communities navigate complex development challenges while building consensus around shared goals.",48467152,35,8,6,2,5
32,Baldwin Richardson Foods Co,Macedon,New York,Manufacturing,697,55,S-Tier,YES,AI Infrastructure,Digital Transformation; All Flash Array; Autonomous Intelligence and Agentic AI; Business Analytics,"Baldwin Richardson Foods (BRF) has always been focused on manufacturing the highest-quality products. As we have evolved and grown, we have expanded our strategic partnerships to provide our customers with comprehensive solutions, including innovation, product development, procurement, logistics and consumer insights. Whats more, BRF is not only a leading manufacturer of custom food and beverage ingredients, its one of the largest African-American family-owned and -operated businesses in the food industry.",9637863,28,15,4,3,5
33,Hilco Receivables LLC,Northbrook,Illinois,Business Services,594,55,S-Tier,YES,AI Infrastructure,Digital Transformation; Disaster Recovery; Application Performance; Business Intelligence; Environmental Regulations; Cloud Computing; Database Solutions; Energy Storage; Data Center Migration; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Big Data Software,"Equable Ascent Financial, LLC (EAF) is a financial services company specializing in accounts receivable ownership and credit reporting information services. The company acquires accounts receivable and provides detailed information about these accounts to credit reporting agencies, serving as a critical intermediary in the consumer credit ecosystem. EAF collects and maintains comprehensive customer data from multiple sources, including direct customer submissions, transaction records with the company and its affiliates, and credit history information obtained from consumer reporting agencies. The company's data portfolio encompasses personal identifiers such as names, addresses, and social security numbers; transactional details including account balances, payment histories, and account usage patterns; and credit history records sourced from established consumer reporting agencies. EAF operates under strict regulatory compliance standards, disclosing nonpublic personal information only as permitted or required by law, with no voluntary disclosure to third parties outside legal requirements. The company has implemented robust information security protocols to protect customer data, including restricted access controls that limit information availability to personnel with legitimate business need, combined with physical, electronic, managerial, and procedural safeguards designed to maintain privacy and prevent unauthorized access. EAF utilizes analytical software to generate aggregated summary statistics for operational purposes such as website traffic analysis, with personal information systematically excluded from all summary reporting. The company emphasizes customer responsibility in data protection, actively advising clients to exercise caution when transmitting sensitive information and recommending against the use of unsecured web contact forms for highly confidential data such as social security numbers. Through its combination of accounts receivable acquisition, credit reporting services, and data ...",66767114,35,8,4,3,5
34,Clasen Quality Coatings,Madison,Wisconsin,Manufacturing,465,54,S-Tier,YES,AI Infrastructure,Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI,"Founded in 1966, Clasen Quality Chocolate manufactures chocolate confections, as well as chocolate coatings for industrial use in the candy making industry. Their headquarters is in Madison, Wisconsin.",8373146,26,15,6,2,5
35,Material Sciences Corp.,Canton,Michigan,Manufacturing,350,54,S-Tier,YES,AI Infrastructure,Generative AI; Autonomous Intelligence and Agentic AI; Business Analytics,"Headquartered in Canton, MI, Material Sciences Corporation (MSC) provides advanced solutions in metals, metal products and metal processing across end-use markets. Material Sciences has been providing services for automotive, construction, and consumer good industries since 1951.",75220974,26,15,6,2,5
36,TricorBraun,St. Louis,Missouri,Manufacturing,2000,54,S-Tier,YES,Hybrid Cloud,Cloud Computing; Application Performance; Enterprise Resource Planning; Environmental Regulations; Database Solutions; Advanced Threat Protection (ATP); Capacity Planning; Enterprise Infrastructure; Digital Transformation; Big Data Software; Energy Storage; Compliance,"TricorBraun is a global packaging solutions company that specializes in helping brands navigate the complexities of packaging procurement, design, supply chain management, and sustainability. Serving a diverse range of industries, including healthcare, food and beverage, personal care, home care, animal health, and alcoholic beverages, the company partners with businesses of all sizes, from emerging brands to established market leaders. Its customer-centric approach focuses on delivering tailored packaging solutions that align with each clients operational, budgetary, and brand objectives.",288522377,28,15,2,4,5
37,Urschel Laboratories Inc.,Chesterton,Indiana,Manufacturing,361,54,S-Tier,YES,AI Infrastructure,Generative AI; Energy Storage; Autonomous Intelligence and Agentic AI,"Founded in 1910, Urschel Laboratories designs manufactures and sells precision food cutting solutions such as commercial potato chip slicers, high capacity cheese shredders, and dicers for fruit and vegetables. Urschel Laboratories is headquartered in Chesterton, Indiana.",40108257,26,15,6,2,5
38,Package Right Corp.,Tipton,Indiana,Manufacturing,98,53,S-Tier,YES,AI Infrastructure,External Hard Drive; Generative AI; Autonomous Intelligence and Agentic AI,"Package Right is an American manufacturer specializing in the creation of puzzles and games, offering end-to-end production services. They maintain full control over costs, timing, and quality by manufacturing and assembling all products in-house. The company is dedicated to providing tailored packaging solutions and exceptional customer support, ensuring a smooth process for their clients. Located in Tipton, Indiana, Package Right partners with well-known brands to help them design and manufacture their products while keeping all operations within the United States.",64865085,26,15,6,1,5
39,Spins,Chicago,Illinois,Business Services,400,53,S-Tier,YES,AI Infrastructure,Environmental Regulations; Generative AI; Databases; Autonomous Intelligence and Agentic AI; Amazon Web Services (AWS); Big Data Software,"SPINS analyzes shopper preferences in relation to product development by using point-of-sale data from conventional retail, eCommerce, and natural product channels, along with detailed product information. It converts product data into standardized attributes, allowing retailers, brands and partners to better understand the products they produce, stock and sell in relation to consumer behavior. These attributes support consistent communication and coordination across the broader market.",36012618,32,8,6,2,5
40,The Morgridge Institute For Research Inc.,Madison,Wisconsin,Business Services,262,53,S-Tier,YES,AI Infrastructure,Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Artificial Intelligence,"As an independent research organization, the Morgridge Institute for Research explores uncharted scientific territory to discover tomorrow's cures. In affiliation with the University of Wisconsin-Madison, the company supports researchers who take a fearless approach to advancing human health in emerging fields such as regenerative biology, metabolism, virology and medical engineering. Through public programming, the company works to inspire scientific curiosity in everyday life.",352384388,32,8,6,2,5
41,Hamilton Center Inc.,Terre Haute,Indiana,Hospitals & Physicians Clinics,584,52,S-Tier,YES,AI Infrastructure,Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP); Big Data Software,"Hamilton Center, Inc. is a not-for-profit regional behavioral health system serving central and west central Indiana. The organization offers a wide range of behavioral health services for adults, children, adolescents, and families, focusing on accessible, compassionate, and person-centered care. Their services are individualized, trauma-informed, and evidence-based, with treatment plans developed based on assessed needs and strengths. Hamilton Center aims to empower individuals on their unique journeys towards wellness and recovery.",1114666845,30,8,6,3,5
42,Kuriyama of America Inc.,Schaumburg,Illinois,Manufacturing,383,52,S-Tier,YES,AI Infrastructure,Generative AI; Autonomous Intelligence and Agentic AI,"Kuriyama of America was founded in 1968. This company provides the manufacturing and retailing of thermoplastic hoses and accessories. Their headquarters are located in Schaumburg, Illinois.",21840323,24,15,6,2,5
43,OppLoans,Chicago,Illinois,Finance,450,51,S-Tier,YES,AI Infrastructure,Generative AI; GitHub; Environmental Regulations; Autonomous Intelligence and Agentic AI,"OppLoans online loan platform offers installment loans to middle-income consumers, who may have bad credit or no credit.",1133871403,28,8,8,2,5
44,Heartland Alliance,Chicago,Illinois,Organizations,2564,50,S-Tier,YES,AI Infrastructure,App Analytics Companies; Enterprise Contact Center; Generative AI; Enterprise Resource Planning; Environmental Regulations; Energy Storage; All Flash Array; Autonomous Intelligence and Agentic AI; Advanced Threat Protection (ATP),"Heartland Alliance is a nonprofit, nonpartisan, nonsectarian organization. The company provides a variety of individual and family social, counseling, welfare, or referral services, including refugee, disaster, and temporary relief services. The company was founded in 1888 and is based in Chicago, Illinois.",24986426,35,0,6,4,5
45,Members Credit Union,Winston Salem,North Carolina,Finance,90,50,S-Tier,YES,AI Infrastructure,Digital Transformation; Generative AI; Environmental Regulations; Autonomous Intelligence and Agentic AI; Dropbox,"Members Credit Union is a member-owned, not-for-profit financial cooperative based in North Carolina with headquarters in Winston-Salem. The company offers a full portfolio of financial service products while charging fewer and lower fees than the larger for-profit banks. All deposits are federally insured up to $250,000 by the National Credit Union Administration (NCUA), and backed by the full faith and credit of the United States Government. As a service-oriented not-for-profit, the company's goal is to serve members, not wealthy shareholders. That's because the company believes members are more valuable than profit.",61507163,30,8,6,1,5
