company,city,state,industry,employees,intent topics,description,acct #
Andretti Autosport,Des Moines,Iowa,Media & Internet,7,,"Don Kay covers racing news and events, particularly focusing on the NTT IndyCar Series. The company provides updates on driver signings and sponsorship deals relevant to the racing industry. Intended clients include motorsport enthusiasts, teams, and sponsors looking for insights into the IndyCar season. The platform promotes engaging content through articles and podcasts to support the racing community.",478903533
Anthony Marano Co,Chicago,Illinois,Retail,600,Generative AI,"Anthony Marano Company was founded in 1947 and Still family owned and operated in Chicago, Illinois offers a full line of vegetable and fruit produce, both conventional and organic.",8409330
Anthony Wayne Rehabilitation Center For Handicapped and Blind Inc.,Fort Wayne,Indiana,Organizations,25,,"AWRC is a not-for-profit organization dedicated to serving individuals with disabilities and behavioral health needs. The company operates several industrial divisions that provide meaningful job opportunities for people with disabilities, including disabled service veterans, while ensuring high-quality services and exceptional customer care. Additionally, AWRC runs Camp Red Cedar, which offers recreational programs for children and adults of all abilities, promoting growth through creative arts and interaction with horses. AWRC's industrial operations are ISO 9001:2008 Certified, reflecting their commitment to quality.",1182144330
Apostolic Christian Home For The Handicapped,Morton,Illinois,Healthcare Services,194,Environmental Regulations; Energy Storage,"We believe we are called to fulfill our vision by serving with Compassion, acting as Advocates, and by our commitment to Respect, Excellence and Safety. In 2005, the CARES acronym was developed to assist all staff in better understanding our vision as well as to help acquaint new staff. The effort and thought put forth in the development of CARES has certainly been blessed in many ways. The CARES concept is also utilized in our staff education sessions which are held periodically throughout the year. Our Staff Meetings in 2009 centered on our mission to fulfill the LifePoints vision of Caring Because God CARES. We began with a study on Character and then sought to better define and live what it means to show compassion, to act as an advocate, to show respect, to work towards excellence while keeping our homes safe for our residents and staff. The CARES philosophy continues to be an integral part of our culture at Apostolic Christian LifePoints. For the Lord does not see as man sees; for man looks at the outward appearance, but the LORD looks at the heart",1208491565
Apple River State Bank,Apple River,Illinois,Finance,63,Artificial Intelligence,"Apple River State Bank and First Community Bank of Galena is committed to the security of your financial and personal information. All of the company's operational and data processing systems are in a secure environment that protects your account information from being accessed by third parties. The company maintain and grant access to customer information only in accordance with the company's internal security standards. Apple River State Bank and First Community Bank of Galena has and maintains an Information Systems Security Policy. The company's policy will be updated in response to any changes in technology and any external or internal threats to information security. All new contractual relationships and existing or new service provides will include their security and confidentially provisions in all the company's future contracts with these providers. At Apple River State Bank and First Community Bank of Galena, employees' access to personally identifiable customer information is limited to those with a business reason to know such information. Employees are educated on the importance of maintaining the confidentially of customer information and on these privacy principles. The company's employees are trained on the proper disposal of nonpublic information. Any printed material containing customer information will be shredded after its use, computer disks, containing customer information, which are no longer in use will be destroyed. All information on hard drives from personal computers will be erased whenever there is a computer upgrade. Because of the importance of these issues, all Apple River State Bank and First Community Bank of Galena employees are responsible for maintaining the confidentiality of customer information and employees who violate these privacy policies will be subject to disciplinary measures.",7458416
Aqua-Aerobic Systems Inc.,Loves Park,Illinois,Manufacturing,152,Enterprise Resource Planning; All Flash Array; Autonomous Intelligence and Agentic AI; Generative AI; Capacity Planning; Advanced Threat Protection (ATP),"Founded in 1919, Aqua-Aerobic Systems, Inc. manufactures water filtration products. The company offers aeration and mixing systems, membranes, filtration devices and controls, and ancillary products.",6359663
Arandell,Menomonee Falls,Wisconsin,Business Services,500,,"Arandell, established in 1922, offers premedia, catalogue printing, mailing, distribution, list management, database marketing, mobile solutions, logistics, and consulting services to its partners in the retail and direct mail catalogue markets. Our goal at Arandell, the nation's leading provider of omnichannel solutions and catalogues printing, is to leave a better impact on people, paper, and the environment. Arandell operates multiple plants, including ones in Walton, Kentucky, and Menomonee Falls, Wisconsin.",2556047
Archdiocese of Milwaukee,Milwaukee,Wisconsin,Organizations,95,End-to-End Encryption; Generative AI; Amazon Web Services (AWS); Environmental Regulations; Autonomous Intelligence and Agentic AI; Energy Storage; Dropbox; Big Data Software,"The Archdiocese of Milwaukee provides spiritual resources and support to deepen the faith of its community through various ministries, workshops, and events. It serves Catholic parishes and schools, offering educational opportunities and vocational guidance while promoting a caring community for those in need. The organization is dedicated to maintaining safe environments, particularly for children, and encourages individuals to contribute their time and talents to the Church's mission. With a focus on fostering a relationship with Jesus, the Archdiocese invites all to explore and embrace the beauty of Catholicism.",6836019
Arlington Computer Products,Buffalo Grove,Illinois,Business Services,196,Application Performance; Fraud Protection; Autonomous Intelligence and Agentic AI,"Arlington Computer Products creates IT solutions for small to midsize businesses, large enterprises, school districts, government agencies, and other organizations. Arlington Computer Products is headquartered in Buffalo Grove, Illinois.",7195997
ARRO Corp.,Hodgkins,Illinois,Manufacturing,264,,"Arro was founded in 1986 as a contract packager of food grade and industrial bulk products. In 1995 the company embarked on a plan to further expand into contract manufacturing and logistics in the food industry. Since 1995, Arro has acquired/integrated three additional companies, three operating facilities and started four new companies. Today, Arro operates two manufacturing facilities and two distribution centers in the Chicago area with over 600,000 square feet of process and warehouse space. The company is a co-packer and co-manufacturer of a wide range of liquid and dry products in the food and pharmaceutical industries, ranging from a gram size package to a full size rail car of product, including hot and cold beverages; bakery; pizza; specialty sugar products; starch, dextrose, phosphates, oils, syrups and related commodities.",2753494
Arvin Sango Inc.,Madison,Indiana,Manufacturing,1944,Compliance,"Founded in 1986, Arvin Sango is a developer and manufacturer of emission control systems. They are headquartered out of Madison, Indiana.",3802793
Assisted Living Concepts Inc.,Milwaukee,Wisconsin,Healthcare Services,6,,"Assisted Living Concepts, Inc. operates licensed assisted living and senior living facilities across the United States. The company is currently involved in a class action lawsuit concerning alleged misrepresentations and omissions in their SEC filings related to compliance with occupancy and operating covenants. The lawsuit has resulted in a proposed settlement of $12 million for affected investors. The intended clients are individuals who purchased or acquired the company's publicly-traded Class A common stock during the specified class period.",404589013
Atc Leasing,Pleasant Prairie,Wisconsin,Transportation,305,Fraud Protection,"Founded in 2016 and headquartered in Pleasant Prairie, Wisconsin, Active USA LLC provides medium-duty and heavy-duty truck transport services for U.S. truck manufacturers.",2642599
ATI Holdings LLC,Bolingbrook,Illinois,Healthcare Services,6300,Cloud Computing; Enterprise Contact Center; External Hard Drive; Cloud Storage; Digital Transformation; Generative AI; Application Performance; GitHub; Cloud Data; File Sharing; Environmental Regulations; Energy Storage; Data Center Migration; Autonomous Intelligence and Agentic AI; Encryption; Advanced Threat Protection (ATP); Enterprise Infrastructure; Artificial Intelligence; Dropbox,"ATI Physical Therapy, headquartered in Bolingbrook, Illinois, and established in 1996, is a rehabilitation provider specializing in research-based physical therapy, workers' compensation rehabilitation, employer worksite solutions, sports medicine, home health, and specialty therapies.",488712582
Audioeye Inc.,Tucson,Arizona,Software,116,,"AudioEye is a technology company serving businesses committed to providing equal access to their digital content. AudioEye identifies and resolves issues of accessibility and enhances the user experience, making digital content more accessible and more usable for more people.",10196181
Aunt Martha's Youth Service Center Inc.,Olympia Fields,Illinois,Hospitals & Physicians Clinics,754,Enterprise Contact Center; Enterprise Resource Planning; Environmental Regulations; Capacity Planning; Big Data Software,"Founded in 1972, Aunt Martha's Health & Wellness is a not-for-profit organization that focuses on providing primary and family health care, including behavioral health, pediatrics, family planning, parent support, and womens health. Aunt Martha's Health & Wellness is located in Illinois.",9294581
Aurora Area Blood Bank,Milwaukee,Wisconsin,Healthcare Services,2300,External Hard Drive; Backup & Recovery Software; Digital Transformation; Generative AI; Cloud Storage; Fraud Protection; Cloud Data; Environmental Regulations; App Analytics Companies; Energy Storage; Artificial Intelligence; Cloud Computing,"Versiti, a national leader in blood health innovation, was formed with the mission to improve the health of patients and enable the success of our healthcare partners nationally. We provide innovative, value-added solutions in the fields of transfusion medicine, transplantation, and blood-related diseases to meet the needs of each of our customers. The collective efforts across Versiti result in improved patient outcomes, expanded access to care, and cost efficiencies for healthcare systems nationwide.",388096303
Aurora Parts & Accessories LLC,,,,,,,
Awana,Chicago,Illinois,Organizations,545,App Analytics Companies; Digital Transformation; Fraud Protection; Enterprise Resource Planning; Environmental Regulations,"Awana is a global, nonprofit ministry committed to the belief that the greatest impact for Christ starts with kids who know, love and serve Him.Awana aims to reach kids, equip leaders, and change the world.Awana reaches kids for Christ through fun, Scripture-rich experiences that lead them to know, love and serve Him. Awana equips ministry leaders and parents to reach and disciple kids who impact their generation with the gospel. God is at work changing the world through the evangelism and long-term discipleship ministry of Awana.",3605292
Awana Clubs International,,,,,,,
Azars Inc.,,,,,,,
Backlund Investment Information Tec,,,,,,,
Bader Rutter & Assoc,Milwaukee,Wisconsin,Business Services,260,Cloud Computing; Disaster Recovery; Business Continuity; Environmental Regulations; Autonomous Intelligence and Agentic AI; Dropbox,"Bader Rutter is an advertising agency with world-class business-to-business and brand building capabilities, strong minds and a work ethic to match.",3752573
Baldwin Richardson Foods Co,Macedon,New York,Manufacturing,697,Digital Transformation; All Flash Array; Autonomous Intelligence and Agentic AI; Business Analytics,"Baldwin Richardson Foods (BRF) has always been focused on manufacturing the highest-quality products. As we have evolved and grown, we have expanded our strategic partnerships to provide our customers with comprehensive solutions, including innovation, product development, procurement, logistics and consumer insights. Whats more, BRF is not only a leading manufacturer of custom food and beverage ingredients, its one of the largest African-American family-owned and -operated businesses in the food industry.",9637863
Bank & Trust Co,Litchfield,Illinois,Finance,101,,"Bank & Trust Company is a financial institution with seven locations serving Central Illinois and surrounding areas, founded in 1902. The bank offers a range of services including personal and business accounts, loans, and financial guidance. Their intended clients include individuals and businesses seeking reliable banking solutions. With a commitment to community service, they have been supporting their clients for over a century.",3915919
Bank Five Nine,Oconomowoc,Wisconsin,Finance,341,Environmental Regulations,"Founded in 1859, Bank Five Nine is a community bank that offers services In personal banking, wealth management, loans, savings accounts, leasing, retirement plans, and more. The company is headquartered in Milwaukee, Wisconsin.",482548145
Bank of Luxemburg,Luxemburg,Wisconsin,Finance,109,Artificial Intelligence; Big Data Software,"Bank of Luxemburg provides a range of financial services including personal and business banking, loans, and investment services. Their offerings encompass checking and savings accounts, business loans, cash management services, and various loan types such as mortgages and student loans. The bank aims to serve both individual consumers and businesses, ensuring a comprehensive suite of financial solutions. With a commitment to community involvement and customer service, they position themselves as a trusted relationship bank.",11930120
Bank of Mauston,Mauston,Wisconsin,Finance,68,Environmental Regulations,"Bank of Mauston provides comprehensive estate planning and investment management services free of charge to Premier Club members. The company's Investment Advisor's office is conveniently located in the company's main office. Insurance products are not a deposit or other obligation of, or guaranteed by the bank & are not FDIC insured.",6933137
Banner & Witcoff,Chicago,Illinois,Law Firms & Legal Services,324,Generative AI; File Sharing; Environmental Regulations; Autonomous Intelligence and Agentic AI,"Banner Witcoff is a leading firm specializing in the protection and enforcement of intellectual property (IP) rights. They offer a comprehensive range of services including patent prosecution, trademark registration, and litigation across various industries such as artificial intelligence, life sciences, and e-commerce. The firm is recognized for its expertise and has been acknowledged by multiple industry awards and rankings. Their intended clients include businesses and organizations seeking to safeguard their intellectual property and navigate complex IP issues.",12259561
Barchart,Chicago,Illinois,Software,50,Enterprise Contact Center; GitHub; Environmental Regulations; Advanced Analytics; Artificial Intelligence,"With headquarters in the heart of Chicago's financial district, Barchart has been an industry-leader since 1995 when the company launched Barchart.com as one of the first websites for commodities and futures market data. Since then, the company has evolved into a global financial technology leader providing market data and services to the global financial, media, and commodity industries.",3965598
Barrett & Stokely Inc.,Indianapolis,Indiana,Real Estate,261,File Sharing; Environmental Regulations; Generative AI; Autonomous Intelligence and Agentic AI; Dropbox,"Barrett and Stokely is a generationally-owned real estate company specializing in multifamily leasing, property management, development, and investment management. With over 12,000 apartment homes in the Midwest, they focus on delivering exceptional resident experiences and enhancing neighborhoods through thoughtful development. The company prides itself on its commitment to outstanding customer service and employee satisfaction, fostering a supportive work environment. Their services cater to a diverse clientele, including residents seeking quality apartment homes and clients looking for comprehensive real estate solutions.",10833890
Bay Area Lutheran Homes Inc.,Green Bay,Wisconsin,Healthcare Services,286,Fraud Protection; Environmental Regulations; Energy Storage,"Woodside Senior Communities is a faith-based, non-profit organization providing a full continuum of housing and health care services for individuals aged 55 and older. Located in the greater Green Bay area, their offerings include skilled nursing, rehabilitation, assisted living, memory care, and independent living options. With over 50 years of experience, they prioritize treating residents and community members with respect in a warm, enriching environment. Their services are designed to adapt to the changing needs of residents, ensuring they can remain within the same community as their care requirements evolve.",301613113
BBS Automation Chicago Inc.,Garching bei Munchen,Bavaria,Manufacturing,1400,Fraud Protection; Environmental Regulations; Data Center Migration,"BBS is committed to providing engineering solutions which are not only financially feasible and structurally sound, but help improve safety, reliability and profitability. At BBS, assembly automation is constantly being redefined and researched to provide the best solutions for your specific manufacturing needs.",369283819
BCforward,Indianapolis,Indiana,Business Services,5984,Cloud Computing; End-to-End Encryption; Generative AI; File Sharing; Environmental Regulations; Enterprise Contact Center; Enterprise Resource Planning; Capacity Planning; Energy Storage; Artificial Intelligence; Dropbox; Autonomous Intelligence and Agentic AI; Advanced Analytics,"BCforward, founded in 1998 and headquartered in Indianapolis, Indiana, is a global IT consulting and workforce fulfillment firm that provides services and resourcing for leading businesses and government organizations.",353993749
Beam Longest & Neff,Kokomo,Indiana,Construction,155,Cloud Computing; Cloud Storage; End-to-End Encryption; Cloud Data; Environmental Regulations; Energy Storage; Encryption,"Egis is a leading global engineering and operating firm that specializes in architecture, consulting, construction engineering, and infrastructure management. The company collaborates closely with clients to create sustainable solutions across various sectors, including transport, urban development, and environmental services. With a presence in over 70 countries, Egis aims to address the challenges of climate change and promote resilient territorial development. Their multidisciplinary approach ensures that they support clients from the initial idea through to design and operation, focusing on smart and sustainable infrastructure.",359160554
Beaver Visitec International Inc.,Abingdon,Oxfordshire,Retail,255,,"Beaver Visitec International is a company that operates in the Home Improvement & Hardware Retail industry. It employs 250to499 people and has 10Mto25M of revenue. The company is headquartered in Abingdon, Oxfordshire, United Kingdom.",1157463898
Bernardin Lochmueller & Associates Inc.,Evansville,Indiana,Business Services,7,,"Bernardin Lochmueller Associates Inc is a company that operates in the HR & Staffing industry. It employs 5to9 people and has 500Kto1M of revenue. The company is headquartered in Evansville, Indiana.",1294594288
Bethany Lutheran Homes Inc.,Council Bluffs,Iowa,Healthcare Services,516,Disaster Recovery; Database Solutions; Energy Storage; Autonomous Intelligence and Agentic AI; Enterprise Infrastructure; Big Data Software,"Bethany Home provides a full continuum of senior care services, including skilled nursing care, assisted living, memory care, and independent living in Sioux Falls and Brandon, South Dakota. The organization focuses on creating a fulfilling lifestyle for seniors, offering tailored services and amenities to meet individual needs. With a commitment to quality care in a loving environment, Bethany Home aims to enhance the lives of its residents through various activities and support. The Bethany Foundation also supports the residents and staff through donations and contributions.",4538681
Better Bank Information Service Company,,,,,,,
Beverly Farm Foundation,Godfrey,Illinois,Healthcare Services,360,Digital Transformation; Fraud Protection; Environmental Regulations,"Beverly Farm is a caring home located in Godfrey, IL, dedicated to providing adults with developmental disabilities a secure and dignified quality of life. The organization offers a range of services including residential and day programs, an equestrian center, and opportunities for personal development. Their mission emphasizes physical and emotional security while fostering individual capabilities. Beverly Farm aims to create a supportive community for both residents and their families, ensuring a nurturing environment.",4571824
Bill Kay Chevrolet,Lisle,Illinois,Retail,89,,"Bill Kay Chevrolet is your source for new & used trucks, SUVs, & cars as well as service & parts. Visit the company's dealership in Lisle, IL today!",34232128
Bimba Manufacturing,University Park,Illinois,Manufacturing,340,Enterprise Contact Center,"Bimba, headquartered in University Park, Illinois, is a manufacturer of pneumatic, hydraulic, electric and vacuum motion solutions.",4719046
Birdsall Voss & Associates Inc.,Saint Paul,Minnesota,Construction,21,,"Birdsall, Voss & Associates Inc is a company that operates in the Architecture, Engineering & Design industry. It employs 20to49 people and has 500Kto1M of revenue. The company is headquartered in Saint Paul, Minnesota.",1304001868
BJ Electric,,,,,,,
Black Ensemble Theater,Chicago,Illinois,Hospitality,27,,"Black Ensemble Theater and Cultural Center produces high-caliber theatrical productions and offers community outreach through the arts. The organization provides training opportunities in theatrical and technical theater for youth. Its initiatives include plays with a purpose, summer job training, and support for black playwrights. The intended clients include local communities, youth, and supporters of the arts.",4866651
Blackfriars Corp.,,,,,,,
Blackhawk Community Credit Union,Janesville,Wisconsin,Finance,124,Enterprise Contact Center; End-to-End Encryption; Fraud Protection; Environmental Regulations,"Blackhawk Community Credit Union is dedicated to serving its members with integrity and care, offering a range of personal and business financial services. Their products include checking and savings accounts, credit cards, mortgage loans, and business lending solutions. The credit union emphasizes competitive rates and personalized service, aiming to empower members to achieve their financial goals. With over 60 years of experience, they are committed to community support and financial literacy.",13225219
Blitt & Gaines PC,Vernon Hills,Illinois,Law Firms & Legal Services,278,,"Blitt and Gaines, P.C. is a full-service collections law firm that specializes in legal collections, creditor bankruptcy representation, consumer litigation, and commercial litigation. The firm is committed to providing best-in-class representation while ensuring compliance with laws governing debt collection, including the Fair Debt Collection Practices Act. Their services are designed for clients seeking ethical and effective resolution of debt-related matters. Blitt and Gaines prioritizes treating customers with dignity and respect throughout the collections process.",14765191
Blue Harbor Resort Sheboygan LLC,Sheboygan,Wisconsin,Hospitality,365,Amazon Web Services (AWS); Fraud Protection; Data Center Migration; Autonomous Intelligence and Agentic AI,"Blue Harbor Resort & Conference Center is a tourist and business destination on the shores of Lake Michigan, and also rents space for events and weddings. They have many attractions and amenities, including a water park, spa, and golf. Located in Sheboygan, Wisconsin.",15436072
Blue River Services Inc.,Corydon,Indiana,Organizations,78,Enterprise Contact Center; Fraud Protection,"Blue River Services, Inc. offers a variety of programs and services aimed at supporting individuals with disabilities and their families. Their offerings include employment services, residential services, child and youth services, and community resources. The company is dedicated to enhancing the quality of life for its clients through initiatives like free pre-K programs and various community events. Blue River Services, Inc. primarily serves individuals with disabilities and their families in the local community.",1155151342
Bmw Constructors Inc.,Indianapolis,Indiana,Construction,841,GitHub; Environmental Regulations; Autonomous Intelligence and Agentic AI; End-to-End Encryption,"Founded in 1955, BMWC Constructors is a construction company that provides fabrication aerospace, chemical, and electric power. BMWC Constructors is located in Indiana.",15977647
Bmwc Group Inc.,Indianapolis,Indiana,Construction,841,GitHub; Environmental Regulations; Autonomous Intelligence and Agentic AI; End-to-End Encryption,"Founded in 1955, BMWC Constructors is a construction company that provides fabrication aerospace, chemical, and electric power. BMWC Constructors is located in Indiana.",15977647
Bou Matic L L C,,,,,,,
Bowen Engineering Corp.,Indianapolis,Indiana,Construction,350,Generative AI; Compliance,"Bowen Engineering, founded in 1967 and headquartered in Indianapolis, Indiana, is a self-performing general contractor that specializes in water and wastewater treatment plants, energy utility construction, and performance contracting. .",1161044532
Boys & Girls Club of Greater Milwaukee,Milwaukee,Wisconsin,Organizations,600,Disaster Recovery; Generative AI,"Boys and Girls Club is located in Atlanta, Georgia and was founded in 1860. Boys & Girls Club is a non-profit organization for children to be in sports, art and clubs.",343391581
Brainlab SE,,,,,,,
Brandenburg Industrial Service Company,Chicago,Illinois,Construction,800,,"Founded in 1968, headquartered in Chicago, Illinois, Brandenburg Industrial Service specializes in demolition and environmental remediation.",5407704
BRINDLEY ENGINEERING Corp.,Lisle,Illinois,Construction,94,External Hard Drive,"Brindley Engineering is an industrial engineering firm that specializes in providing quality engineering solutions for complex structural maintenance issues across various industries, including oil & gas, chemicals, renewable energy, pharmaceuticals, and manufacturing. Their expertise encompasses capital projects, maintenance programs, turnarounds, reliability initiatives, and construction solutions, ensuring efficient and sustainable designs. The company emphasizes a field-forward approach, integrating practical understanding into their engineering and design processes. Brindley Engineering aims to improve existing infrastructure and embrace new technologies to drive sustainable progress in the industries they serve.",357543485
Bsa Lifestructure,,,,,,,
Burrell Communications,Chicago,Illinois,Business Services,176,Generative AI; Autonomous Intelligence and Agentic AI,"Burrell Communications is an advertising agency whose assignments are among those tracked by The New York Times. Founded in 1971 and headquartered in Chicago, Illinois, Burrell Communications is one of the largest multi-cultural marketing firms in the world.",5931564
BuySellAds.com Inc.,Boston,Massachusetts,Business Services,35,,"BuySellAds transformed the way advertising was transacted online with the introduction of its Marketplace in 2008. BuySellAds's five advertising technology platforms - Marketplace, Carbon Ads, Syndicate, Launchbit, and Self-Serve Direct - provides advertisers with direct access to the industry's top performing inventory. The company's platforms empower both advertisers and publishers by bridging the ad tech divide. Today, the company works with more than 12,000 advertisers and help them connect with the internet's most passionate audiences.",347940259
C. R. Meyer and Sons Company,Oshkosh,Wisconsin,Construction,1000,Enterprise Contact Center; Fraud Protection; Environmental Regulations; Energy Storage; Databases,"C.R. Meyer & Sons is a construction management, consulting, and general contracting services provider for commercial and industrial projects. Founded 1888, the company is headquartered in Oshkosh, WI.",29364348
Career Horizons Inc.,,,,,,,
